step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,82,2,1.2240523024031427,0.0,0.47058823529411764
2,148,4,1.388723916278104,0.0,0.5
3,198,6,1.6800227962589513,0.0,0.2222222222222222
4,280,8,1.01888626500775,0.0,0.5882352941176471
5,362,10,0.8549002719949931,0.0,0.5
6,444,12,0.6795029544911813,0.0,0.7777777777777778
7,526,14,0.6160772651899606,0.0,0.5833333333333334
8,592,16,0.6817216293755336,0.0,0.7333333333333333
9,674,18,0.4306078167143278,0.0,0.7222222222222222
10,756,20,0.43205086379159185,0.0,0.7857142857142857
11,838,22,0.3741984560552374,0.0,0.7777777777777778
12,904,24,0.5260514164147025,0.0,0.8
13,970,26,0.40308146577881415,0.5,0.8888888888888888
14,1020,28,0.593881224784612,0.0,0.7777777777777778
15,1086,30,0.42148192545591884,0.5,0.9285714285714286
16,1152,32,0.4410785305586614,0.5,0.9230769230769231
17,1234,34,0.3220814113388769,0.0,0.8571428571428571
18,1284,36,0.4527156805021453,0.0,0.75
19,1350,38,0.2645138825275353,1.0,1.0
20,1416,40,0.24832106044491414,1.0,1.0
21,1482,42,0.342624396221072,0.5,0.9
22,1564,44,0.22993156168828138,1.0,1.0
23,1630,46,0.27866601700206955,1.0,1.0
24,1696,48,0.2060870586063402,1.0,1.0
25,1762,50,0.21653811613808785,1.0,1.0
26,1812,52,0.3000352889835388,1.0,1.0
27,1878,54,0.25144283543318124,1.0,1.0
28,1928,56,0.2591348020444609,1.0,1.0
29,2010,58,0.13990359385933518,1.0,1.0
30,2076,60,0.22761525445871486,0.5,0.7777777777777778
31,2174,62,0.14094548913504543,1.0,1.0
32,2240,64,0.17047636319825302,1.0,1.0
33,2322,66,0.1894735054040984,0.5,0.9333333333333333
34,2404,68,0.37589270180658796,0.0,0.8666666666666667
35,2470,70,0.14678611630895375,1.0,1.0
36,2552,72,0.14105961266108352,1.0,1.0
37,2634,74,0.16260572497566503,1.0,1.0
38,2716,76,0.23726989210361352,1.0,1.0
39,2782,78,0.276272439025854,0.5,0.9285714285714286
40,2864,80,0.12341264137672622,1.0,1.0
41,2946,82,0.13672951973425143,1.0,1.0
42,3012,84,0.22411244017561102,1.0,1.0
43,3078,86,0.2622545095252036,0.5,0.9333333333333333
44,3128,88,0.22694757597631302,1.0,1.0
45,3210,90,0.18191211268808957,1.0,1.0
46,3276,92,0.1402203309809197,1.0,1.0
47,3342,94,0.1795147990205049,1.0,1.0
48,3408,96,0.15517230555052264,1.0,1.0
49,3490,98,0.0957911906512959,1.0,1.0
50,3556,100,0.206213186357164,1.0,1.0
51,3622,102,0.17519685088447548,1.0,1.0
52,3704,104,0.11865331601296855,1.0,1.0
53,3770,106,0.2192571700572728,1.0,1.0
54,3836,108,0.20496946279928918,1.0,1.0
55,3902,110,0.16035505123496707,1.0,1.0
56,3984,112,0.142281082159795,1.0,1.0
57,4050,114,0.11593259473714479,1.0,1.0
58,4132,116,0.10203210905824447,1.0,1.0
59,4198,118,0.12404263042184474,1.0,1.0
60,4264,120,0.1823911799476477,1.0,1.0
61,4330,122,0.11870801153996485,1.0,1.0
62,4412,124,0.15329807625828099,1.0,1.0
63,4478,126,0.23111317037531245,1.0,1.0
64,4544,128,0.1708763664968007,1.0,1.0
65,4626,130,0.14176947085285438,1.0,1.0
66,4676,132,0.21235592000690154,1.0,1.0
67,4726,134,0.2017564206377894,1.0,1.0
68,4792,136,0.19531704483114254,1.0,1.0
69,4858,138,0.10338446165532914,1.0,1.0
70,4924,140,0.19054168871332422,1.0,1.0
71,5006,142,0.15435254886802796,0.5,0.9411764705882353
72,5072,144,0.6408080963849889,0.5,0.8125
73,5122,146,0.20698077333688616,1.0,1.0
